name, math, english, programming_1, programming_2, statistics
Mark Taylor,2,83,6,15,65
Shirley Potts,34,15,96,41,17
James Quarles,11,20,39,69,25
Patricia Cato,76,39,0,48,95
James Vest,48,10,45,52,32
Donna Larochelle,40,91,32,21,85
Neil Ivan,34,78,66,6,60
Kerri Hardy,69,32,88,50,25
Rosemary Almaguer,9,40,48,83,49
Bernadette Harris,2,72,34,56,71
Angelina Drinkwater,43,12,85,16,7
Anne Gaston,47,67,59,85,81
Cherie Shinn,86,20,91,38,96
Elwood Stimpert,39,18,86,2,55
Jennifer Mitchell,51,92,46,27,80
Elmer Squires,58,65,37,5,19
Agatha Crosson,0,11,82,68,86
Sharon Cuddy,32,6,76,52,9
Deborah Migl,27,54,78,78,24
Claude Prater,70,81,65,27,24
Robin Bell,23,3,44,99,81
Cathy Cavazos,72,12,54,52,70
Amber Witherspoon,86,100,16,82,92
Myron Blews,81,53,95,5,11
Ayana Nolte,42,79,60,20,38
Marilyn Pasillas,73,31,25,87,42
Jennifer Holsten,86,68,94,46,69
Justin Biltz,13,92,77,4,15
Jane Shappell,90,32,92,62,28
Nicholas Hawn,31,63,55,21,33
Mickey Clester,65,20,71,78,48
Sean Koepsell,39,11,67,23,36
Kirk Klotz,77,1,2,49,75
Troy Gross,97,9,24,29,19
Beverly Hamilton,9,33,73,92,70
Carrie Garth,6,49,80,78,38
Judy Behr,67,31,83,70,99
Ruth Van,57,84,83,32,76
David Salls,75,30,82,51,35
William Whigham,41,93,72,32,31
Carol Clark,5,97,16,27,88
Jeremy Harrison,13,35,7,71,83
Joseph Heaton,1,39,14,3,90
Ashley Carbajal,64,28,68,34,94
Alonzo Ransom,100,80,64,49,96
John Fitch,3,69,19,0,77
William Salazar,73,64,66,56,79
Richard Denning,44,4,73,96,95
Jessica Kirby,27,48,57,13,18
Soo Henderson,52,40,85,61,5
Phillip Medina,57,18,43,41,29
Kara Welborn,20,72,40,92,22
Anna Navarrete,21,50,61,16,7
Hiram Love,72,57,7,100,10
Nathan Finn,78,64,98,80,8
Maureen Mendez,65,32,23,23,44
Roger Gilbert,43,93,51,4,25
Kathy Seymour,78,41,33,82,55
Thomas Sheehan,89,30,22,80,89
Lula Shulda,97,40,21,67,1
Doris Verge,32,43,30,76,90
Rita Thompson,42,7,7,88,95
Chris Mcnutt,59,6,72,88,74
Gwendolyn Beaumont,17,56,71,86,75
Dennis Shipley,41,65,99,40,59
Patricia Forbes,83,33,37,4,95
Cindy Thompson,60,23,65,88,80
Chris Siders,76,58,95,1,90
Matthew Young,44,20,8,31,72
Donald Vosburg,76,23,91,68,80
William Rosado,72,27,94,12,68
Trevor Sifre,69,43,32,44,48
Louis Morgan,87,1,50,75,100
David Burnett,57,25,48,13,67
Ruby Freedman,96,23,34,32,64
Christopher Otey,8,64,59,85,57
Santo Velasquez,4,12,59,82,57
Dana Lynch,97,14,31,44,32
David Owens,4,7,89,39,63
Deborah Story,71,77,78,15,42
Dave Corbin,13,26,7,32,96
Teri Buchanan,92,37,76,30,89
Bette Nelson,83,1,85,14,91
Richard Nettles,100,85,67,35,51
Audrey Elumbaugh,23,0,86,26,76
William Cunningham,26,15,46,36,81
Gordon Connell,68,100,50,49,4
Alice Roman,59,87,48,31,30
Thomas Miller,47,32,88,27,42
Janet Lares,67,86,26,58,58
Timothy Manser,98,33,95,83,44
Krystal Babena,39,5,56,14,90
Camilla Mikesell,36,38,16,46,66
Lucas Trammell,45,17,78,70,37
Melvin Luneau,70,16,9,23,64
Elaine Farrar,30,79,85,33,34
Juanita Steffen,34,38,30,79,87
Jacklyn Bailey,37,27,51,76,60
Peggy Sand,48,11,62,30,60
Katherine Anderson,60,79,49,85,27
Amanda Wright,11,23,83,89,16
Earl Howdeshell,21,63,78,53,21
Martha Moore,91,29,7,82,15
Christopher Peterson,93,20,34,69,47
Matthew Hunter,58,34,7,46,65
Jay Emmick,32,82,97,29,20
Richard Lamoureux,80,53,53,20,40
Ehtel Rowland,99,11,62,73,14
Frederic Grover,73,75,14,43,97
Johnnie Mccorrison,85,40,11,16,63
Jan Mcclellan,44,75,42,29,50
Krystal Mclaughlin,12,6,76,54,54
Ismael Macduff,18,77,44,71,31
John Powell,89,46,50,96,32
Patrick Riedel,29,3,72,60,41
Clint Bonney,37,70,69,4,46
Gloria Turk,45,94,50,100,43
Thomas Ferguson,54,66,26,6,47
Jacquie Victor,32,64,98,48,83
Randy Thrasher,24,78,30,66,4
Kathleen Andrews,19,13,41,26,96
Lynne Olander,18,21,2,94,25
Rebecca Anderson,76,43,46,7,62
Ron Noe,69,98,55,53,89
Alice Hutchinson,7,29,83,72,26
Julie Kepler,84,46,1,13,88
Katie Jacobsen,90,31,68,53,58
Rebecca Davis,27,16,20,14,3
Jonathan Pitts,69,32,61,79,66
Joseph Sipper,93,87,52,89,84
Percy Fanning,12,69,68,15,16
Dustin Koczera,48,12,85,67,1
Guadalupe Flenard,23,84,89,15,84
Kerry Davis,23,54,98,38,37
Ian Neal,66,72,0,86,76
Gerald Kaufman,53,96,76,48,12
Jose Kuechler,96,76,47,86,48
Mae Obermeyer,97,14,57,38,84
Doris Nerney,86,96,87,35,37
Samuel Coffey,87,58,45,32,80
Hugh Peiffer,35,36,78,65,66
Autumn Carroll,41,86,100,67,4
Shari Payne,36,1,47,86,36
Pearl Marino,31,74,40,83,14
Paul Clark,24,56,61,53,68
Angela Watson,19,76,1,49,70
Sydney Cantu,57,73,48,25,61
Alice Greene,69,15,51,68,98
Marianne Hileman,27,69,12,10,21
Sherry Chatcho,37,42,74,84,89
Emily Davidson,54,63,50,43,92
April Zimmerman,10,86,65,26,4
Laurie Wager,96,32,91,77,55
Lisa Martinez,73,21,7,78,22
David Gray,46,19,44,63,35
Anton Amerson,47,80,99,14,28
Gloria Neal,60,36,2,41,46
Rebecca Reed,23,87,76,88,69
Matthew Lee,83,78,100,25,44
Dennis Stewart,88,21,49,31,11
Brady Sevilla,54,73,78,40,8
Neal Bryant,4,6,52,17,17
David Zepeda,25,14,75,59,87
Anna Garcia,37,74,20,37,8
Jeremy Mora,29,9,82,52,14
Charles Guerrero,78,12,80,79,18
Jill Fejes,63,17,93,21,18
Rick Cavazos,3,33,39,9,28
Julene Rivera,44,10,70,44,83
Michael Overton,81,94,77,35,66
William Williams,14,13,94,53,30
Charles Coffey,56,46,69,40,47
Linnie Sodomka,91,100,40,33,44
Derek Cozzi,95,52,91,17,89
Weston Ramirez,96,40,6,94,90
Anderson Sellers,92,27,60,21,59
Kristin Owens,23,2,4,16,73
Roland Johnson,74,41,54,54,68
Jim Winnike,26,51,51,24,69
Miranda Vaness,10,91,29,32,73
John Swearingen,92,36,70,71,21
Claudia Jones,2,59,70,64,7
Misty Anderson,65,59,23,69,18
Norman Donahue,63,9,78,46,25
Tamara Gainer,36,95,51,23,80
Michael Bailey,71,95,44,32,4
William Mccall,86,9,65,92,97
Yvonne Presley,95,32,95,54,71
Scott Sydow,50,69,23,21,47
Santiago Mosher,28,54,47,33,23
Calvin Roberts,38,29,38,56,88
Floyd Sawyers,30,77,39,71,54
Donald Pope,77,11,40,64,16
Billy Caskey,53,79,83,3,45
Laura Gardner,89,14,50,9,69
James Berryman,24,27,81,44,79
Ruth Griffith,7,13,96,52,96
Angelyn Webster,64,48,71,59,90
Michael Lucas,4,27,28,54,30
Mary Mueller,60,39,80,7,98
Eva Ricketts,65,94,44,12,84
Christopher Lam,17,53,31,51,75
Eddie Dabney,21,19,10,14,50
Jerry Cunningham,75,39,64,38,48
Celeste Williams,63,89,83,3,26
Lizzie Sebald,49,14,33,70,33
James Hankinson,65,39,75,29,75
Jennifer Seidman,20,52,43,8,54
Clarence Sisk,4,64,50,20,7
Janet Camel,82,22,82,17,35
Joan Lampman,45,15,13,11,67
Clara Sweet,83,38,95,2,20
Eleanor Mitchell,38,28,48,54,49
Annette Dustman,16,31,67,99,1
Lisa Mccormick,72,47,53,2,99
Iris Mauck,10,67,54,88,7
Ronald Wilkinson,22,96,18,86,86
Carmine Rogers,79,37,3,2,55
Susana Ray,71,38,98,25,95
Thomas Spiker,18,35,14,52,48
Rubin Mcgee,63,9,34,29,51
Howard Garing,74,67,63,56,58
Clara Ince,67,32,78,53,19
Marilyn Guerra,91,0,70,30,79
Brian Robbins,80,25,86,99,74
Denise Giannone,7,15,84,36,38
Harriett Gonzales,0,32,89,86,6
Priscilla Batz,82,86,99,69,25
Michael Davis,16,49,29,26,84
Corey Green,73,13,55,76,16
Scottie Lowers,24,31,50,14,4
Annie Lopez,2,99,50,22,2
Jennifer Nava,49,30,74,29,35
Kenneth Wozniak,10,89,62,43,44
Maria Curtin,51,40,89,62,27
Michael Akbar,28,13,65,62,43
Francisca Moye,72,67,98,68,37
Roy Evans,56,70,36,22,47
Frank Nichols,9,67,80,20,15
Susann Landreth,6,29,82,90,98
Troy Duesterhaus,87,64,43,52,27
Jenette Scoles,62,82,33,22,87
Willette Alvarez,18,24,67,47,95
Walter Sagar,80,18,8,90,79
Laurie Binkley,62,45,17,77,1
Dorthy Speight,62,27,85,78,20
Angel Webb,7,15,18,82,40
Dolores Davenport,38,90,71,100,11
Doyle Evans,92,51,84,96,94
Charlotte Tingley,46,17,57,38,91
Larry Lyon,27,13,95,65,43
Katherine Howard,99,21,68,78,16
Lisa Baker,61,32,21,76,65
Martha Villasenor,32,12,87,31,29
Else Williams,94,99,43,100,89
Melissa Jones,68,34,3,22,73
Alica Rosseau,87,61,41,51,84
Marcia Davis,39,82,74,35,39
Tyler Berry,13,54,66,78,94
George Fain,93,0,56,51,81
Crystal White,30,48,23,25,62
Jeanna Welty,55,15,0,74,37
Larry Nadeau,36,85,92,45,29
Diana Schroeder,9,95,92,24,93
William Jordan,2,60,82,32,26
Lois Nguyen,44,16,2,80,91
Maude Arias,55,39,7,67,98
Weldon Matteson,100,21,79,71,78
Jeffrey Kenon,50,35,79,37,74
Marianne Parkison,58,78,59,45,78
Sonja Covington,76,48,2,38,57
Howard Patrick,68,20,25,1,10
Tom Addie,5,64,13,93,17
Hyon Dameron,14,9,71,47,50
Nathan Serrano,70,78,25,47,77
Alfred Demarsico,56,67,60,80,85
Mildred Kutz,96,4,2,14,6
Pauline Degan,90,13,8,86,0
Roberta Mcnicholas,47,20,76,55,0
Patricia Gordon,67,19,3,81,34
Lisa Brown,88,81,46,3,21
Henrietta Wright,100,89,32,79,75
David Mcalister,0,37,87,64,24
Beverly Sauer,66,36,67,81,80
Earle Horning,34,16,71,79,33
Frank Morgan,76,41,59,42,93
Rebecca Eraso,23,98,71,29,15
Joseph Moreno,2,0,14,9,77
Steve Schill,23,96,91,2,36
Barry Raposa,78,15,41,48,92
David Williams,1,48,64,40,19
Steven Hale,73,1,8,50,93
Kenneth Brannon,25,83,54,28,36
Bob Wolf,26,30,18,96,14
Christian Harris,31,47,55,13,36
Clinton Johnson,99,19,42,10,30
Annie Taylor,85,14,2,52,26
Earnestine Younker,64,44,62,65,25
Amanda Deans,26,80,51,94,49
Ellis Robbins,0,76,99,1,3
Teresa Reed,83,72,5,49,46
Thomas Forrest,31,5,85,43,22
Regina Phillips,72,77,26,79,95
Virgil Pranger,99,52,0,32,3
Lillian Thompson,63,22,76,19,29
Christopher Higgins,88,39,5,28,9
Denise Attaway,88,93,17,89,93
Dustin Clayton,45,26,21,12,44
Olivia Ford,50,0,54,68,58
James Hann,39,36,90,80,94
