name, math, english, programming_1, programming_2, statistics
Tommie Gause,17,21,82,35,49
Charlene Cunningham,11,23,50,88,86
Jerry Johnson,65,29,30,70,57
Elizabeth Post,54,63,6,86,32
Emma Bryant,82,24,54,80,96
Leigh Ranta,51,58,65,93,87
Amanda Phillips,0,36,62,97,57
Aisha Ugarte,93,96,77,38,68
Dora Harrison,68,8,5,60,27
Sona Cole,0,16,72,91,26
Jackie Wood,40,92,38,18,59
Ricky Martin,28,90,12,36,99
William Blasen,71,97,10,20,32
Anthony Kapinos,84,2,20,79,7
Linda Garner,74,50,65,78,95
Justin Barber,65,84,42,23,17
Marlene Clancy,31,98,96,55,17
Mavis Hepler,11,60,96,36,13
Ernesto Baum,61,80,75,2,63
Adele Rolland,11,45,16,28,86
Dena Laurent,15,13,80,68,19
Jack Sporle,84,23,29,73,23
Aaron Huston,59,64,31,34,16
Maria Finley,89,65,86,12,10
Samuel Camfield,89,84,10,44,14
Rachelle Clyde,97,46,19,17,89
Daniel Modrak,33,27,34,84,92
Charles Ortiz,0,5,66,38,98
Steve Lane,46,79,73,70,43
Craig Miles,3,30,36,7,80
Brandi Carter,12,82,54,56,80
Jason Kull,77,9,11,53,90
David Chisolm,52,88,5,40,44
Curtis Minteer,5,49,78,81,0
Mary Parado,82,20,12,73,73
Phyllis Gard,36,94,87,71,31
Craig Hubbard,41,22,82,97,45
Linda Williams,49,1,90,86,13
Steven Matheny,50,30,25,57,26
Amanda Halvorson,100,0,35,2,85
Bertha Gutierrez,51,79,75,77,19
Rufus Legg,9,0,56,23,58
Justin Cole,95,86,5,43,38
Lucy Than,3,9,51,20,80
Johnnie Jones,53,18,93,46,70
Michael Shaffer,61,89,0,29,86
Joann May,87,27,97,25,23
Dong Pitts,33,21,29,100,85
Kirk Roudabush,61,79,4,30,87
Osvaldo Mcdivitt,53,48,51,48,66
Angelo Mochizuki,51,47,69,34,7
Cynthia Jackson,62,48,84,100,5
Marie Roth,94,96,72,45,15
Devon Nielson,8,82,3,17,38
Michael Mcdaniel,97,75,37,5,94
Nancy Smith,27,84,57,55,45
John Wilson,26,15,68,50,16
Joe Oswald,74,87,98,17,26
Clara Kimberling,85,15,47,40,20
Tiffany Marrs,59,30,1,51,82
Ronald George,77,2,54,83,56
Tami Lawson,37,62,22,100,62
William Hess,14,24,71,46,84
James Spencer,32,22,7,78,15
Patricia Weir,49,8,31,2,50
Pamela Marron,31,4,25,64,35
Sanford Cagle,28,80,89,58,45
Deandre Currier,95,98,75,98,47
Casey Drain,87,15,85,35,65
Tara Garrett,72,47,40,28,62
Marion Creasy,4,57,13,26,32
Gilberto Cook,72,36,83,59,67
Maria Lamontagne,73,86,90,29,20
Jane Wells,27,74,55,73,57
Ferdinand Thomas,74,66,13,15,46
Timmy Black,65,28,3,57,27
Tony Torkelson,61,26,40,83,0
Lois Walker,27,23,57,37,25
James Yi,23,19,39,38,67
Mary Clark,18,96,75,41,28
Roy Ramp,13,98,99,72,1
Howard Tramonte,51,0,46,41,51
Mary Damon,79,78,18,10,54
David Jones,55,51,42,31,33
Roger Dalrymple,38,69,54,73,95
Timothy Fuller,86,34,66,26,2
Victor Brown,46,89,44,29,24
Houston Burton,10,87,3,95,94
Patricia Hopper,87,51,4,97,12
Matthew Stafford,11,60,67,10,33
Dean Tuley,60,56,42,51,52
Gregorio Ashby,36,64,70,78,47
James Pimental,20,63,85,70,40
Gerald Rios,17,70,11,70,3
Jeanette Elliott,72,62,92,18,68
Cecil Rieger,3,53,37,64,11
John Raymond,95,35,0,7,32
Amy Vig,11,22,98,17,53
Robert Everett,27,62,37,98,15
Betty Rivera,67,12,86,54,65
