name, math, english, programming_1, programming_2, statistics
Bob Curry,9,31,54,54,31
Edna Parker,68,3,23,10,34
Charles Newsom,57,10,79,58,57
William Rohde,27,88,78,28,5
Roberta Bryce,78,70,59,99,12
Kenneth Rodriguez,50,61,83,1,32
Randal Chapman,53,60,86,73,56
Marie Westbrook,28,96,41,68,58
Martha Thornton,80,43,5,17,58
Gerald Savoie,90,0,33,90,24
Douglas Phillips,1,37,28,80,13
Scott Ruth,26,53,85,10,94
David Bowie,88,99,54,84,66
Jennifer Smith,77,66,67,82,41
James Alexander,46,98,23,79,6
Arthur Minor,62,67,31,42,7
Leo Klein,33,84,75,35,19
Kenneth Bishop,21,36,100,32,15
Kenny Terry,16,69,28,19,15
Susan Movius,26,74,44,95,8
Karen Brown,61,18,69,17,78
Yvonne Taylor,60,86,25,41,31
Lakisha Jefferson,49,39,79,27,97
Ila Johnson,13,84,10,91,31
Marilyn King,88,68,70,67,38
Aaron Alford,84,11,59,61,48
Keith Ochoa,65,1,91,81,7
Leroy Crofts,2,63,40,79,88
Ron Medina,1,29,65,63,75
Becky Gonzales,25,40,8,63,14
Mark Rodriguez,70,2,76,6,94
Michael Lozano,48,62,33,28,4
Ernest Emerson,54,81,96,23,44
James Collins,99,79,38,91,32
Jack English,35,40,15,80,51
Jessica Davis,51,57,59,51,18
Norman Hunter,96,49,79,0,18
Billie Bierce,34,57,87,10,26
Rosella Brown,56,45,70,73,35
Pilar Glover,48,36,57,44,3
Jeffery Bigley,2,13,18,65,20
Samantha Ellington,19,84,43,48,97
Debbie Semmes,19,63,85,50,54
Michael Eagan,71,99,87,47,47
Sharon Rose,34,23,58,36,47
Lee Sanders,31,91,22,5,8
Carla Riddick,64,70,20,59,60
George Moore,8,38,66,1,42
Michelle Micale,21,92,81,74,81
James Smith,85,29,71,5,38
Maria Manalang,59,28,42,4,55
Yong Ellis,86,11,57,39,93
James Diaz,85,13,57,40,81
Lan Smolen,65,97,17,20,43
Billy Mishar,14,29,90,36,60
Johnathan Raney,39,55,52,96,80
Paul Perry,54,48,31,0,48
William Degenfelder,28,78,88,91,33
Angel Friedmann,17,24,9,82,49
Jeffrey Stammer,69,92,75,28,84
Gregg Plotner,84,37,67,22,34
Vivian Sanchez,38,58,57,2,82
Bertram Weaver,64,54,71,79,23
Robin Everette,63,88,30,77,60
Frank Colanero,64,24,51,81,67
Christopher Hallmark,67,72,7,44,47
Alexander Robinson,15,3,15,58,71
Brent Radabaugh,34,1,9,13,22
Roy Navarro,14,28,3,80,37
Son Heninger,48,77,57,78,5
Sandra Macgregor,100,73,86,57,95
Brian Wolfe,49,49,50,46,96
Aurore Powell,39,41,3,28,4
Theodore Cody,99,89,38,67,42
Cheryl Chatterton,72,34,41,88,74
Mary Campbell,31,68,31,70,27
Lyndsay Fore,23,71,11,97,31
Melissa Kin,13,35,96,63,43
Jennifer Gary,92,51,30,48,91
William Borden,52,58,82,11,88
Virginia Ault,25,96,65,48,79
Robert Mullen,50,11,14,15,82
Catherine Madsen,43,40,45,98,41
Leigh Jones,68,37,87,76,40
Jaime Paxton,28,28,52,99,49
Micheal Gilchrist,91,88,47,70,95
Claudine Diaz,81,90,61,27,14
Renee Davis,44,34,44,66,96
Thomas Love,64,97,80,50,68
Juan Knight,94,75,45,29,100
Georgia Lamm,62,67,76,49,61
Douglas Watts,76,4,16,0,22
Tina Sanchez,69,8,62,9,36
Rachel Hartley,58,34,74,27,31
Ronald Wright,64,100,55,62,42
Richard Meadows,85,37,40,97,79
Jose Jones,98,88,47,5,59
David Hollon,8,46,39,94,70
Jason Johnson,13,2,81,49,51
James Westphal,97,18,0,30,5
Norma Mckouen,52,8,98,91,19
Richard Crowner,43,81,89,52,36
Anthony Guerrero,10,7,11,77,18
Ferdinand Teague,94,39,96,10,67
Beverly Tade,53,22,78,43,72
Mary Tang,1,36,19,72,22
Rogelio Wilson,92,97,31,77,41
Bernice Hupp,21,43,74,45,69
Frank Erickson,81,76,18,68,17
Margaret Wilson,46,45,52,89,100
Micheal Morris,13,15,90,38,13
Terry Knutsen,22,1,72,3,28
Brenda Floyd,94,92,37,87,73
Jose Kuhn,54,2,64,46,47
Albert Whipple,54,45,67,47,64
Shirley Nolie,73,64,53,40,33
Pamela Zappala,52,61,94,80,81
Michele Boyd,31,88,28,10,82
Frank Moser,35,37,20,13,20
Merle Rodriques,53,59,35,53,74
James Fernandez,19,17,23,62,48
Lester Hall,74,63,42,80,45
James Madore,7,23,9,4,67
Annie Valencia,93,71,35,30,82
Sharlene Lupu,78,98,51,10,93
Larry Amaral,17,36,96,98,40
Cheryl Hamilton,95,93,96,31,86
George Spano,32,9,69,12,8
Jeff Lothrop,32,71,46,0,96
Daniel Galloway,57,78,78,0,26
Albert Guzman,80,99,20,85,2
Daniel Robinson,75,93,31,76,39
Amber Drelick,88,85,82,65,86
Abel Bove,83,38,36,39,7
Andrew Wallace,2,31,37,39,92
Jennifer Wing,29,29,9,20,90
Cynthia Waldrop,57,73,28,49,72
Jessica Vanbrunt,82,89,87,1,99
Stephanie Hendrix,21,32,77,74,94
Jack Hall,80,61,53,96,55
Lauren Bracco,92,8,1,55,81
Hazel Thurman,76,20,48,54,99
Bryan Blaylock,78,6,87,70,48
Linda Lewis,100,43,83,85,84
Matthew Vigil,75,48,100,50,86
Julie Streeter,85,80,25,86,17
William Green,70,56,3,21,29
Hung Mcphee,26,43,66,16,19
Willie Greene,93,68,16,32,3
Richard Seidell,12,57,88,25,54
Troy Patterson,57,47,71,90,46
Roger Mcfarland,57,4,73,44,4
Douglas Weatherford,73,13,59,22,2
David Muniz,70,51,68,75,77
Rebecca Peralta,7,25,18,19,48
Nancy Toliver,55,6,17,33,15
Richard Daniels,62,4,98,48,42
Evangelina Tinsley,43,86,66,27,100
Eleanor Corscadden,67,90,35,18,52
Donald Kindred,43,23,84,0,100
Derrick Wallin,44,87,31,56,93
Colleen Cummins,46,3,56,47,58
Marion Dix,11,3,10,87,41
Dan Delaney,92,54,85,83,54
Harvey Greene,77,34,100,27,82
Kyle Gatto,54,21,53,42,96
Eddie Leonard,69,70,90,4,2
Mary Robinson,62,87,11,64,64
Harold Harris,7,94,81,70,96
Diane Laforce,34,22,76,49,24
Ira Lewis,81,16,9,74,46
Daniel Saxon,2,61,3,93,32
Anthony Isaacs,15,66,76,17,12
Kevin Wilson,31,29,1,57,93
Kevin Berg,75,8,48,87,18
Jimmy Pope,76,82,30,79,89
Don Barrios,4,96,45,44,65
Callie Vito,51,100,82,79,14
Harold Hull,47,88,72,18,53
Theodora Sun,55,64,15,25,5
Adam Hirst,60,61,71,23,34
James Suehs,34,61,14,52,25
James Mcmullan,86,17,85,7,27
Darrel Mclean,14,56,95,59,66
Michaela Burchett,1,43,41,27,2
Michael Tapp,100,51,7,61,69
John Harbin,15,36,64,30,81
Walter Johnston,8,78,46,26,96
Michelle Waston,69,5,53,79,73
Damien Knight,72,63,69,76,99
Minerva Mullen,54,25,88,30,44
Martin King,19,24,28,26,53
Rosie Gilliland,77,7,33,68,14
Mark Brandy,75,34,0,66,6
Donald Field,99,57,21,29,99
Harold Pfeffer,22,11,82,47,87
Latrice Duke,99,96,25,4,1
Ethel Friedman,69,75,55,28,65
David Martin,90,87,15,81,93
Marilyn Steedley,45,40,85,66,28
Annie Willardson,66,60,26,52,6
Robert Langone,26,19,60,30,70
Shannon Barkley,87,67,63,60,34
Larry Sharbono,65,0,42,99,100
Jan Koop,75,90,64,19,75
Sharon Smith,29,50,78,25,53
Terry Mccarthy,92,55,52,24,72
Thomas Pilkington,85,98,4,26,68
Marguerite Pichardo,11,67,3,52,100
Mario Johnson,1,43,29,82,50
Wendell Rodriguez,22,5,3,33,27
April Ramos,61,63,31,98,55
Natasha Ferguson,57,69,94,43,55
Cheryl Reker,76,84,85,18,74
Floy Jorgenson,40,71,47,67,73
Matthew Mckenzie,50,8,96,19,99
Roni Sexton,82,1,86,83,92
Dennis Maohu,62,70,58,65,67
Irene Wiant,49,0,21,80,82
Inez Ovalle,9,63,66,98,93
Rebecca Furth,81,62,33,78,3
David Ball,58,78,73,66,13
Lynda Wood,52,54,75,45,34
Diane Pippen,80,31,54,1,94
Courtney Reid,44,45,95,44,54
Tracy Johnson,99,49,68,55,6
Michelle Ross,38,71,95,91,7
Donald Schmidt,74,96,71,23,23
David Young,92,6,61,36,81
Amanda Tinajero,22,2,90,70,72
Patricia Penn,62,19,41,52,36
Norman Smith,0,13,17,81,36
Anthony Felix,15,14,78,5,33
James Guy,100,37,24,31,79
Ronald Baker,52,92,48,63,74
Glenn Wilson,36,51,99,35,6
Charlene Wotring,37,89,34,16,23
Annie Underwood,34,25,76,71,25
Tracy Stewart,85,74,40,14,72
Elmer Quick,24,48,25,96,30
Nancy Pickering,75,36,33,98,85
Eddie Amos,71,56,68,96,15
Rebecca Henderson,87,58,91,93,93
Joyce Chavez,43,56,97,92,33
Curtis Penley,72,64,21,12,33
Elisha Miller,94,93,27,79,100
Albert Lutz,98,54,50,75,31
James Emerson,61,72,82,71,74
George Simpson,22,18,62,15,75
Jeffrey Mazor,27,19,46,77,4
Luis Preston,86,42,100,38,82
Pauline Soriano,47,61,17,78,4
May Durham,39,17,79,48,3
Latoyia Hoffmann,43,64,0,8,57
Linda Watson,78,20,42,22,34
Jeffery Kozak,11,18,70,82,63
Erma Caddle,68,60,26,24,23
Jeffery Lothrop,59,96,38,45,33
Deloris Thomas,33,71,16,1,10
Scott Simpson,90,11,19,27,11
Bettie Blankenship,13,98,7,2,47
Emily Elliott,19,71,44,13,72
Melinda Kollar,83,55,36,29,15
David Burton,5,81,78,92,98
Timothy Mayer,1,80,62,10,33
Peggy Pierce,37,6,73,20,50
Kevin Gieger,6,35,8,53,82
Joshua Mckenna,88,8,79,10,46
Sally Floyd,31,23,94,92,77
Patricia Hofmann,62,56,32,15,70
Michael Andersen,68,39,64,34,12
Tammie Hurley,67,1,54,10,1
Edith Robinson,39,59,21,88,81
Timothy Benjamen,49,21,86,7,20
Joanne Tran,94,21,42,6,83
Sandra Erickson,16,0,21,75,4
Elida Ronn,11,34,37,2,9
Catherine Bass,37,88,44,52,43
Randy Bowling,61,23,7,73,11
Lucy Jost,47,11,69,78,33
Richard Gould,97,42,3,91,7
Barry Bowlin,23,3,78,38,27
Cassandra Vaughn,44,98,32,85,18
Daniel Chevez,41,71,94,47,34
Amy Peterson,90,7,94,58,68
Nadine Rose,1,82,44,55,16
Vivian Yoo,11,97,85,2,67
Ray Kelley,99,25,100,30,43
Wayne Hetzel,81,71,23,42,71
Adela Wyant,91,14,90,88,84
Jose Billiter,58,56,32,47,69
Melvin Shock,27,2,89,33,59
Joan Ceniceros,83,96,5,99,12
Lynn Uttech,64,22,1,43,48
Francisco Jenkins,65,54,100,30,100
Britney Mclean,50,100,84,39,69
Deanne Babel,76,84,80,8,81
Jason Hill,27,86,67,61,17
Clyde Daniels,34,87,66,33,48
James Mcswain,42,91,37,63,93
Alicia Kirchner,24,78,12,67,43
