name, math, english, programming_1, programming_2, statistics
Joanne Watson,87,28,97,95,46
Tiffany Henderson,59,77,8,63,47
Jeremy Vargas,27,24,53,34,41
Leslie Mandala,78,54,67,90,36
Brandy Woodson,33,32,12,3,33
Tina Napolitano,94,2,59,82,33
Cleo Kertis,27,17,24,55,69
Ruth Henley,95,24,37,83,22
Eddie Morrison,8,60,55,48,9
Timothy Lovell,66,19,65,65,19
David Washington,0,21,21,81,0
William Johnson,17,45,77,15,25
Ernest Jones,70,75,41,71,79
Michael Sledge,28,75,63,93,51
Jasmine Fowler,32,73,71,86,31
Leon Jacobs,78,54,36,79,80
Anne Burtch,97,69,0,18,32
Cynthia Montes,7,10,40,89,41
Barbara Sinkiewicz,18,90,56,30,23
Kenneth Ring,66,90,30,52,74
Paul Davis,39,90,68,13,96
Mallory Prater,85,78,64,52,11
David Mackerl,22,31,74,38,54
Deborah Ragsdale,45,66,88,84,65
Lloyd Alejandro,41,67,23,46,17
Brandy Munson,31,29,25,47,82
Anita Johnston,74,36,14,60,8
Imogene Corona,86,6,42,11,81
Cassandra Beauchemin,87,20,85,88,81
Jaime Caldwell,59,35,67,27,94
Mary Beck,70,0,24,89,32
Jessie Power,14,67,29,34,78
Nancy Keeney,90,51,43,54,16
Esmeralda Clayton,44,30,74,59,56
Molly Krans,0,89,78,57,79
Robert Murray,5,9,95,3,66
Felice Ricks,52,83,78,88,13
Eleanor Martin,66,40,41,61,15
Elmer Booker,58,88,92,48,88
Priscilla Needels,58,95,99,32,8
Michael Brazelton,82,50,55,57,81
Joanna Scott,92,91,37,6,30
Lowell Jackson,94,77,3,86,6
Thomas Wagner,85,65,16,9,56
Ruth Fields,30,33,91,63,56
Albert Dengler,51,38,97,94,64
Jessie Johnson,51,23,25,92,58
Cindi Lacroix,38,35,38,44,22
Anthony Yadao,82,84,23,84,16
Christopher Hillis,72,46,82,26,89
Maria Miller,67,30,39,82,90
Melissa Kline,68,91,24,96,78
Linda Hoffman,89,15,83,50,90
Guy Russo,29,66,28,63,72
Barbara Millar,12,22,50,3,14
Hallie Reed,16,52,36,83,100
Maria Smith,15,33,28,8,96
Jesus Panning,49,17,64,41,10
Matthew Abbott,82,1,5,62,36
Charles Hardy,84,75,56,36,6
Julia Keach,47,97,89,91,16
Frank Madril,33,9,82,42,11
Carl Santos,11,49,90,34,30
John Stanley,14,89,9,28,59
Gregory Torres,80,69,56,76,84
William Jones,10,75,39,84,70
Edgar Baldwin,86,71,47,92,13
Tina Betts,19,46,27,40,93
Ryan Jones,84,95,32,48,22
Jane Brann,81,56,0,78,43
Evan Bullock,59,29,51,90,21
Matthew Smith,63,34,90,1,98
Robert Thomas,51,34,87,30,83
Brenda Stewart,4,100,56,48,45
Barbara Nava,4,36,5,5,33
Edward Kinchen,34,41,28,48,98
Mathew Alt,49,47,10,55,7
Jeffrey Packard,58,5,97,25,56
Joey West,37,87,38,52,4
Eva Mccloskey,46,95,63,10,84
George Ruhland,49,72,62,35,45
Myong Clark,68,98,84,70,25
Christa Flores,8,7,49,0,96
Annie Lancaster,95,90,85,92,27
Kathleen Lopez,6,97,58,58,18
Inez Lorenzo,98,19,90,8,44
Martin Clark,90,62,28,80,55
Joel Mote,38,78,0,27,46
Miguel Nelson,54,5,5,35,82
Connie Klett,74,92,4,32,51
Irma Garcia,23,88,12,20,39
Matthew Magee,40,23,54,2,70
Clarence Floyd,32,83,50,78,25
Valerie Lee,66,37,83,27,48
Linda Balderrama,23,60,39,52,67
Ruth Shives,37,61,77,10,28
Maria Wilson,15,87,25,3,21
Courtney Cordova,71,7,16,93,22
Bonnie Eskola,13,22,39,60,1
Daryl England,73,3,70,79,4
William Rios,34,33,63,8,13
Joe Yamada,50,35,34,34,69
Willie Brown,9,25,43,72,84
Gerald Crawford,42,90,21,19,19
Moses Greer,61,7,85,35,39
Jane Hernandez,86,24,0,22,61
Andrew Pritchard,63,30,59,79,95
Charles Hecht,88,95,18,5,40
Diane Rodriguez,33,16,98,37,0
Ronald Washington,35,4,79,42,34
David Smith,31,28,84,72,72
Danny Thompson,79,92,52,14,27
Glenn Sarmiento,41,40,13,89,49
David Nickens,97,66,87,33,54
Frances Williams,76,12,81,51,7
Lester Dufilho,78,77,96,70,89
Christina Broussard,97,77,2,71,47
Tyrone Calvert,43,81,46,60,3
Jeffrey Griffith,3,84,15,89,100
Mae Lebaron,73,25,73,43,98
Everett Keehn,89,26,60,41,73
David Hackley,34,98,61,96,1
Helen King,45,84,78,56,100
Barbara Jacklin,19,5,21,58,86
Judy Burchill,15,58,79,12,70
Blake Freiseis,79,92,54,96,44
Brian Payne,81,91,20,36,30
Ruth David,72,72,16,30,22
John White,81,1,95,27,96
Robert Dejohn,85,76,84,32,69
John Farris,10,6,25,28,8
Jessica Adams,52,42,58,38,71
Elijah Cornish,45,94,59,86,61
Shawn Wyckoff,97,5,29,47,87
Samantha Pate,44,22,73,86,30
Willie Pike,43,57,62,29,57
Harriet Meador,41,47,17,87,73
Phillip Mendoza,86,27,72,71,18
Ann Sloan,50,23,21,37,42
Cara Sprauve,4,80,100,65,35
Helen Jones,92,37,35,57,52
Estella Snodgrass,20,75,77,28,16
Wilmer Robinson,44,13,80,49,3
Christopher Cummings,17,68,25,79,17
Stephen Ayre,87,47,10,89,98
Lorie Robison,27,24,20,67,5
Adrienne Carrasco,59,62,90,18,36
Melissia Harmon,87,100,32,93,39
Jesus Johnston,36,47,40,23,83
Martina Scandurra,86,45,60,18,36
Ida Swenson,88,3,18,14,34
Heriberto Ludkowski,22,16,10,92,4
Tuan Salinas,71,67,71,7,48
Paul Doan,88,65,88,68,92
William Yee,13,72,67,50,70
Adam Campbell,97,93,1,89,91
Michael Schuler,50,49,21,30,48
Luke Chavez,35,83,35,78,33
David Owens,44,12,44,89,34
Bette Perez,1,43,63,92,39
Deborah Ackland,6,46,47,4,57
William Gomez,55,72,53,32,28
Robert Garson,55,65,64,16,24
Bobby Phillips,60,98,66,94,51
Isaac Mucha,60,0,39,52,78
Robert Dewispelaere,83,95,12,34,63
Debra Simmons,55,54,87,40,85
Nickolas Belles,69,42,29,1,46
Eileen Dercole,25,52,51,37,66
Brian Holmes,32,62,86,68,67
Kathleen Ward,57,73,6,20,81
Lewis Lunsford,77,93,1,4,65
Harry Hill,45,42,25,9,31
Joesph Guarino,36,89,87,6,91
Ronald Ellis,75,22,9,89,47
Jake Boyd,84,73,58,47,35
Joseph Galligan,82,2,95,19,18
William Castillo,96,57,37,25,49
Michael Brady,59,20,3,7,44
Theresa Pena,65,13,5,84,67
Rebecca Adams,87,67,58,57,98
Gregory Cofer,30,99,20,64,77
Reginald Hiraldo,57,65,28,73,34
Jeffery Porto,24,29,70,85,41
Patricia Jenkins,67,32,57,3,40
Brandy Grumet,49,43,86,59,38
Nichole Hull,2,51,26,24,7
Eugenia Birchfield,70,50,36,48,23
Sylvie Miller,1,76,61,14,8
Thomas Lamb,21,80,21,43,18
Dennis Dhondt,29,99,36,46,4
John Johnson,29,1,89,95,45
Robert Harris,25,37,98,39,27
Richard Maleh,41,12,68,8,64
Melisa Brackley,61,42,79,56,44
Joseph Dawson,26,76,80,94,86
David Moore,32,81,41,72,53
Allen Greene,79,6,90,21,70
Theodore Tadlock,5,0,99,75,22
Frances Bria,29,95,2,43,81
Alfreda Regan,16,18,46,55,39
Scott Robertson,26,48,10,15,22
Paula Shabazz,95,47,70,44,39
Walter Beil,42,77,3,21,52
Martha Walch,55,24,25,33,67
Patrica Grandberry,51,57,17,58,4
Steven White,80,15,36,34,34
Marjorie Bray,81,5,7,99,28
Michael Carter,13,62,43,67,30
Susan Giorgi,66,38,23,90,30
Tori Stephens,87,75,71,51,16
Warren Dunlap,74,11,96,32,94
Terresa Turner,1,27,62,96,31
Latonya Gafford,55,59,85,85,58
Lucile Malinowski,9,53,91,36,87
Roman Horton,70,38,51,62,11
Joseph Phelps,49,96,52,43,31
Flora Roeder,18,45,23,97,2
Jane Moreno,73,69,48,78,10
Charolette Lott,58,7,68,49,42
Margaret Reed,66,90,48,12,90
Carolyn Skinner,16,49,94,79,94
Monique Rivera,66,11,76,60,42
Cathleen Knowles,96,42,7,2,75
Maria Jett,29,98,44,90,82
Virginia Maher,50,44,91,65,71
Jeffrey Hamburger,80,35,63,81,44
Ashley Stephens,67,79,75,68,79
Freda Debolt,91,16,87,60,69
John Pitts,5,4,38,8,52
Sherry Jacobs,26,67,61,86,1
John Lopes,44,99,53,15,39
Jarvis Lasky,91,22,14,99,42
Jennie Hahn,45,53,81,58,93
Beverly Miron,46,43,6,6,18
Edna Yates,38,72,98,100,39
Janice Silva,52,9,53,80,52
Michael Adams,85,12,50,45,7
Chastity Delaney,64,27,4,54,59
Sherry Thompson,90,41,84,44,59
Sherry Kenyon,26,30,33,30,37
Rick Watts,14,1,49,60,49
Douglas Jones,0,71,75,44,17
Sarah Sharpe,95,57,100,22,21
Ashley Johnson,43,29,51,13,29
James Fielding,49,48,73,10,57
Ashley Estrada,5,94,95,45,21
William Leyba,79,28,8,27,79
Jack Otani,11,83,78,34,9
Tara Daly,91,19,85,58,1
Albert Porter,70,50,38,92,14
Todd Guarnera,21,17,98,48,86
Andrew Belanger,99,44,78,34,45
Willie Morrow,41,96,35,73,83
Kurtis Mcclain,2,86,84,11,7
Kerry Marugg,9,22,14,54,98
Julia Goetz,63,51,65,17,36
Adam Lucas,1,36,73,16,80
Keith Whitney,93,55,26,89,86
Roger Nekola,40,47,92,95,17
Thomas Ullman,33,18,1,70,18
Clifton Williams,68,34,76,26,58
Maya Alton,55,97,15,78,3
Shirley Porter,8,85,96,26,18
Robert Hernandez,33,12,49,60,59
Mary Jenkins,93,31,37,95,45
Crystal Silver,46,89,62,33,2
Janice Walls,89,6,13,99,32
Emilio Borjon,67,100,61,63,74
