name, math, english, programming_1, programming_2, statistics
Russell Smith,57,87,42,6,93
Alan Rosado,55,34,43,71,85
Patricia Rogers,34,52,31,47,63
Dolores Ruiz,15,3,61,88,71
Luis Patton,43,12,80,8,49
Gladys Hoch,25,50,58,51,79
Brian Gregory,9,87,32,98,56
David Anschutz,8,55,74,8,54
Gena Reynolds,14,72,24,67,57
Jennifer Wofford,61,42,9,27,92
Joseph Jones,86,85,0,99,71
Emily Baugh,1,60,75,0,27
Helen Dunn,0,11,56,2,84
Kevin Devore,57,66,70,43,63
Jeffrey Applebaum,46,70,10,27,16
Patricia James,56,60,26,43,7
Jennifer Ashby,11,19,6,76,46
Edna Hendrikson,32,47,32,84,95
Justin Clark,31,76,51,39,96
Maria Santiago,92,47,99,33,34
Kathy Spina,7,84,20,8,55
Grace Wagner,89,53,17,67,90
Cora Easter,44,66,64,68,23
Leroy Garcia,27,79,84,56,41
Margaret Adkins,63,82,85,13,68
Becky King,43,95,32,61,27
Jolynn Colbert,91,1,26,60,53
Paul Moreno,92,1,31,93,57
Harold Arcuri,78,41,74,14,34
Rosa Woodard,43,100,38,56,98
Reid Violette,13,86,48,6,56
Betty Mcdonald,9,66,93,6,25
Carl Pearson,0,48,11,15,22
Leland Smith,94,99,65,76,30
Noah Tressler,62,38,60,42,16
Angela Rucker,84,7,27,24,35
Patricia Lipphardt,7,28,88,25,94
Jennifer Robles,13,2,75,62,68
Marcia Brock,8,22,43,55,66
Bradley Stinnett,98,6,50,5,79
Jason Beasley,57,39,39,36,2
Faith Cannon,20,82,10,1,56
John Foree,3,13,11,39,58
Jimmy Shannon,56,3,19,6,38
Gilbert Wene,70,59,54,4,14
Shanna Adair,93,26,78,76,62
Nicole Soriano,17,1,98,26,8
David Marcotte,40,86,100,29,53
Ofelia Clark,93,8,60,81,55
Roberto Edwards,88,97,61,16,69
Nicole Meeter,11,96,70,77,86
Stephen Spivey,89,48,92,46,9
Cynthia Young,31,52,5,65,38
Timothy Pinkett,60,8,22,17,77
Michelle Nordahl,30,61,29,37,34
Roy Jacobs,33,64,16,60,29
Jonathan Estes,37,11,64,41,67
Colin Keaton,0,5,45,28,31
Karen Marshall,68,96,88,86,18
Stacy Gaylor,8,19,38,3,91
Nathaniel Inciong,30,2,14,52,19
Camie Bussman,82,41,70,70,41
Thomas Clark,8,45,32,52,100
Sandi Halseth,16,5,46,48,87
Morris Stiffler,46,19,81,76,45
Rogelio Ines,10,54,6,56,46
Elisa Lewis,73,25,47,74,20
Willie Gauthier,82,57,20,54,27
Delores Cantrell,82,17,8,27,13
John Irving,36,21,12,87,17
Eugene Arsenault,90,40,29,69,10
Amy Wright,83,84,53,87,67
Nathan Mandato,24,83,35,75,62
Brenda Molina,80,78,90,18,9
Alan Linkous,5,49,97,3,95
Maria Davis,14,39,12,88,52
Angelina Crom,37,10,30,67,63
Donald Patterson,2,6,54,60,14
Nikki Yuen,63,94,82,23,73
Ruth Lutwin,2,99,85,23,19
Marco Wang,29,47,92,89,42
Robert Jones,8,17,55,83,43
Pinkie Teas,69,44,68,13,73
June Mench,26,78,9,62,72
Ray Rogers,91,49,99,38,30
William Weber,51,90,34,19,64
Susan Simmons,12,67,51,62,87
Renato Jeffrey,92,41,40,87,11
Gregory Williamson,9,25,6,31,53
Maureen Rosado,40,64,51,100,55
Tyrone Wigginton,1,74,85,20,73
Timothy Boutte,82,58,78,39,77
John Hale,47,25,88,56,72
Marge Schoen,17,94,7,7,45
Tanna Cook,59,76,32,38,1
Marvin Nealy,31,49,40,6,83
Krystal Streeter,18,15,61,89,95
Christopher Rhoads,49,13,38,22,79
Michael Deardorff,95,43,8,70,14
Jennifer Phillips,94,27,90,90,24
Temika Adams,85,24,57,4,68
Nelson Pacitto,53,4,100,13,55
Norma Jeansonne,74,73,91,32,24
Dan Weller,23,10,74,9,20
Gerald Pena,57,93,58,66,91
Mary Webb,2,90,77,0,97
Michael Moore,87,61,4,1,26
Juan Sansom,100,73,94,85,45
Janet Saylor,22,55,0,92,23
Clara Carpenter,86,95,14,40,47
Beverly Leggett,36,40,98,3,88
Danita Moore,25,61,82,15,29
Victor Babineaux,50,47,32,49,100
Delbert Walker,94,53,59,79,73
Roland Oneil,90,80,48,69,35
Christian Bishop,33,97,49,36,51
Cody Perry,44,63,45,75,6
Elizabeth Schwab,7,33,12,46,92
Gary Encino,81,17,24,16,89
Charles Dunn,36,31,5,17,43
Beulah Jackson,35,85,22,64,41
Phillip Mcdaniel,52,56,1,23,96
Gloria Winkles,58,91,18,28,58
Matthew Saylors,30,1,49,31,72
Jimmie Culbreth,64,86,1,69,33
Joleen Johnson,100,39,99,75,59
Rosalie Williams,13,97,80,43,65
Melva Cook,43,91,60,47,22
Willie Miller,90,54,46,94,39
Dominick Morris,85,14,82,29,6
Edna Braun,68,36,44,99,52
Agnes Redman,79,96,17,100,77
Robert Alden,73,10,20,82,88
Robert Pack,84,76,15,41,9
Sharon Prior,77,62,100,65,77
Charles Maxson,61,80,38,87,82
Sandra Woloszyn,75,0,95,69,38
Amanda Hanneman,35,60,63,20,2
Russell Deloach,94,62,99,84,44
Owen Wells,89,66,84,84,55
Ernest Holtz,55,84,58,50,31
Lisa Peace,34,55,34,93,95
Sasha Mcniel,71,52,57,34,62
Richard Eckman,72,51,79,80,68
Paul Jenkins,91,59,89,65,23
Joseph Daniel,23,92,92,80,89
Julie Barlow,14,83,69,90,67
Justin Kimmes,67,36,88,43,40
Annette Ferguson,89,38,97,30,27
Martha Fiscalini,27,95,96,95,67
James Valenza,38,32,34,65,54
Martha Smith,40,91,69,32,7
James Henson,16,38,100,91,5
Louise Soto,12,70,70,3,58
Alice Paik,34,12,42,16,44
Greg Keefer,91,82,91,71,46
Frances Owens,96,5,94,83,9
Jose Habicht,10,12,99,25,52
Robert Shearer,37,40,20,31,69
Rafael Gordon,12,33,27,92,73
Phillip Duff,59,84,65,63,94
Jerry Roberts,69,62,33,87,57
Ramona Hoobler,36,20,81,19,42
Dana Douds,51,64,72,35,42
Karen Harp,80,49,64,54,21
Sandra Coleman,88,24,63,94,32
Patricia Ochinang,36,89,92,85,99
Samantha King,80,8,74,72,87
Ilene Hart,10,82,10,100,52
Leonard Haley,96,72,93,99,58
Joseph Warrington,34,73,41,92,8
Heidi Mathias,41,86,22,73,11
Sherry Taylor,75,55,20,90,31
Alana Hoggan,26,60,5,35,94
Anthony Wilsey,89,18,72,47,14
Jean Showman,47,70,58,75,51
Bonnie Hughes,10,40,87,54,64
Viola Ivey,62,28,21,97,11
Nathaniel Woodmansee,5,29,36,60,63
Cindy Moffett,27,31,68,39,58
Betsy Knisley,96,17,52,34,99
Phyllis Paul,45,82,96,40,51
Thomas Grady,72,59,97,43,70
Antonio Lagasse,50,89,43,88,17
Frank Romero,52,65,17,21,30
Cary Fisher,93,34,25,80,40
William Clouthier,43,65,47,64,6
Edward Stevenson,77,78,89,93,11
Blaine Martinie,47,97,60,78,20
Cynthia Bramlett,99,10,56,0,61
Harold Nutter,0,36,39,52,71
Mildred Ortiz,1,94,26,27,87
Juan Serisky,16,24,29,67,13
Jennifer Fontenot,20,0,16,8,14
Vickie Miner,84,98,28,80,31
Elizabeth Perry,21,39,65,3,69
Michael Larimer,68,99,15,39,76
Dennis Graves,33,4,8,38,92
Clement Smith,3,66,57,47,70
